Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 17 | 2026-04-19 - 2026-04-25 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"modern oak matted frame 6x9","217","1","60","1","1.67","1","100.0","1","100.0","16.99","16.99","0","1","0","1","100.0","1","100.0","16.99","16.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"frame para foto","946","9","187","2","1.07","2","22.22","1","50.0","81.99","81.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"winplus+ vintage picture frame 2.5x3.5 luxury antique green photo frame with ...","803","3","172","4","2.33","8","266.67","1","12.5","9.99","81.99","0","4","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"12x19 frame","972","93","3005","2","0.07","56","60.22","1","1.79","30.99","45.99","0","13","15","11","11.83","0","0.0","26.99",,"0","3","3","2","2.15","0","0.0","19.94",,"0","1","1","2026-04-25"
"16 x 24 frame","107","802","26153","13","0.05","307","38.28","1","0.33","25.49","47.99","19","85","122","117","14.59","1","0.85","24.35","47.99","10","39","43","40","4.99","0","0.0","22.99",,"7","13","16","2026-04-25"
"8 inch deep floating shelf","326","69","2034","81","3.98","36","52.17","0","0.0","26.99",,"0","9","17","1","1.45","0","0.0","29.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"wood floating shelves 8 inch wide","534","13","271","12","4.43","6","46.15","1","16.67","79.93","89.99","0","0","5","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"￼photo frame","847","47","980","4","0.41","13","27.66","1","7.69","24.99","24.99","3","2","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"floating shelves for wall kovascape","567","1","22","10","45.45","1","100.0","1","100.0","24.99","24.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"wood bathroom shelves","789","366","9882","4","0.04","128","34.97","1","0.78","27.82","94.99","41","43","25","24","6.56","0","0.0","27.82",,"13","7","3","2","0.55","0","0.0","23.99",,"2","0","0","2026-04-25"
